Model,Accuracy,Precision,Recall,F1 Score
SVM,0.975,0.9758870712818082,0.975,0.9749341232105315
Logistic Regression,0.9722222222222222,0.972370396712502,0.9722222222222222,0.972220642985258
KNN,0.9638888888888889,0.9647515793979607,0.9638888888888889,0.9636113031127418
Random Forest,0.9638888888888889,0.9644324534852787,0.9638888888888889,0.9636095059177866
