,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Gradient Boosting,0.8076650106458482,0.6782006920415224,0.5240641711229946,0.5912518853695324,0.8459996383270041
XGBoost,0.8041163946061036,0.6611842105263158,0.5374331550802139,0.5929203539823009,0.8441215221266372
Logistic Regression,0.7423704755145494,0.5094664371772806,0.7914438502673797,0.6198952879581152,0.8421814048412514
Random Forest,0.7743080198722498,0.5611353711790393,0.6871657754010695,0.6177884615384616,0.8362267173008862
